UN Paris,Frequency,Type,UN_Overlap_Shell,UN_Overlap_BP
acknowledging the,2,2-gram,0,0
concerns of,2,2-gram,1,1
this regard,2,2-gram,0,0
urgent need,2,2-gram,0,0
address the,2,2-gram,1,1
the significant,2,2-gram,1,0
the aggregate,2,2-gram,0,0
aggregate effect,2,2-gram,0,0
mitigation pledges,2,2-gram,0,0
emission pathways,2,2-gram,0,0
holding the,2,2-gram,0,0
to well,2,2-gram,1,0
well below,2,2-gram,1,1
below c,2,2-gram,1,1
above preindustrial,2,2-gram,1,0
preindustrial levels,2,2-gram,1,0
and pursuing,2,2-gram,0,0
pursuing efforts,2,2-gram,0,0
to limit,2,2-gram,1,1
limit the,2,2-gram,1,0
increase to,2,2-gram,1,1
to c,2,2-gram,1,1
that enhanced,2,2-gram,0,0
the urgency,2,2-gram,1,0
urgency of,2,2-gram,1,0
its kyoto,2,2-gram,0,0
support by,2,2-gram,0,0
pre action,2,2-gram,0,0
benefits of,2,2-gram,1,0
and early,2,2-gram,1,0
action including,2,2-gram,0,0
countries in,2,2-gram,1,1
particular in,2,2-gram,0,0
the enhanced,2,2-gram,0,0
and promote,2,2-gram,0,1
cooperation in,2,2-gram,0,0
stakeholders including,2,2-gram,1,0
civil society,2,2-gram,1,1
society the,2,2-gram,0,0
the private,2,2-gram,0,1
sector financial,2,2-gram,0,0
institutions cities,2,2-gram,0,0
cities and,2,2-gram,1,0
other subnational,2,2-gram,0,0
subnational authorities,2,2-gram,0,0
and indigenous,2,2-gram,1,1
agreement under,2,2-gram,0,0
change hereinafter,2,2-gram,0,0
hereinafter referred,2,2-gram,0,0
as “the,2,2-gram,0,0
as contained,2,2-gram,0,0
be the,2,2-gram,1,1
to have,2,2-gram,1,1
from april,2,2-gram,0,0
april to,2,2-gram,0,0
to april,2,2-gram,0,0
convene a,2,2-gram,0,0
a high,2,2-gram,1,1
also invites,2,2-gram,0,0
be convened,2,2-gram,0,0
convened by,2,2-gram,1,0
or at,2,2-gram,0,0
at their,2,2-gram,0,0
appropriate as,2,2-gram,0,0
recognizes that,2,2-gram,0,1
convention may,2,2-gram,0,0
agreement pending,2,2-gram,0,0
requests parties,2,2-gram,0,0
any such,2,2-gram,0,1
notes that,2,2-gram,1,1
action in,2,2-gram,1,0
the same,2,2-gram,1,1
the bureau,2,2-gram,0,0
bureau of,2,2-gram,0,0
the entry,2,2-gram,0,0
and for,2,2-gram,1,1
oversee the,2,2-gram,0,0
agreement decides,2,2-gram,0,0
starting in,2,2-gram,0,0
decisions to,2,2-gram,0,0
contributions that,2,2-gram,0,1
have been,2,2-gram,1,1
reiterates its,2,2-gram,0,0
secretariat their,2,2-gram,0,0
their intended,2,2-gram,0,0
parties november,2,2-gram,0,0
the clarity,2,2-gram,1,0
contributions requests,2,2-gram,0,0
to continue,2,2-gram,1,1
to publish,2,2-gram,1,1
the unfccc,2,2-gram,0,0
unfccc website,2,2-gram,0,0
any other,2,2-gram,1,1
organizations in,2,2-gram,0,0
communication of,2,2-gram,0,0
that may,2,2-gram,1,1
such support,2,2-gram,0,0
parties by,2,2-gram,0,0
in document,2,2-gram,0,0
document fccc,2,2-gram,0,0
the estimated,2,2-gram,0,0
emission levels,2,2-gram,0,0
levels in,2,2-gram,1,0
to a,2,2-gram,1,1
than those,2,2-gram,0,0
˚c above,2,2-gram,0,0
levels by,2,2-gram,0,0
by reducing,2,2-gram,1,1
or to,2,2-gram,1,1
identified in,2,2-gram,1,1
special report,2,2-gram,0,0
report referred,2,2-gram,0,0
to cover,2,2-gram,0,1
all the,2,2-gram,1,1
facilitative dialogue,2,2-gram,0,0
take stock,2,2-gram,0,0
the collective,2,2-gram,0,0
in relation,2,2-gram,1,1
relation to,2,2-gram,1,1
goal referred,2,2-gram,0,0
preparation of,2,2-gram,1,1
agreement invites,2,2-gram,0,0
communicate their,2,2-gram,0,0
first nationally,2,2-gram,0,0
no later,2,2-gram,1,0
later than,2,2-gram,1,0
its respective,2,2-gram,0,0
instrument of,2,2-gram,0,0
be considered,2,2-gram,1,1
requests those,2,2-gram,0,0
those parties,2,2-gram,0,0
parties whose,2,2-gram,0,0
whose intended,2,2-gram,0,0
contribution pursuant,2,2-gram,0,0
cp contains,2,2-gram,0,0
contains a,2,2-gram,0,0
a time,2,2-gram,0,0
time frame,2,2-gram,1,1
frame up,2,2-gram,0,0
to to,2,2-gram,0,0
communicate by,2,2-gram,0,0
a new,2,2-gram,1,1
so every,2,2-gram,0,0
thereafter pursuant,2,2-gram,0,0
these contributions,2,2-gram,0,0
shall submit,2,2-gram,0,0
months in,2,2-gram,0,0
to facilitating,2,2-gram,0,0
through a,2,2-gram,1,1
develop further,2,2-gram,0,0
guidance on,2,2-gram,1,1
agrees that,2,2-gram,0,0
communicating their,2,2-gram,0,0
facilitate clarity,2,2-gram,0,0
may include,2,2-gram,1,1
time frames,2,2-gram,0,0
planning processes,2,2-gram,0,0
and as,2,2-gram,1,1
how the,2,2-gram,1,1
guidance for,2,2-gram,1,1
make available,2,2-gram,0,0
half of,2,2-gram,1,1
agreement of,2,2-gram,0,0
its related,2,2-gram,0,0
related legal,2,2-gram,0,0
legal instruments,2,2-gram,0,0
account for,2,2-gram,1,1
removals in,2,2-gram,0,0
methodologies and,2,2-gram,0,0
and common,2,2-gram,0,0
agreement b,2,2-gram,0,0
strive to,2,2-gram,1,1
categories of,2,2-gram,0,0
emissions or,2,2-gram,1,0
or removals,2,2-gram,0,0
guidance referred,2,2-gram,0,0
and subsequent,2,2-gram,0,1
parties may,2,2-gram,0,0
to their,2,2-gram,1,1
the forum,2,2-gram,0,0
forum on,2,2-gram,1,0
measures under,2,2-gram,0,0
bodies shall,2,2-gram,0,0
session the,2,2-gram,0,0
functions of,2,2-gram,0,0
measures to,2,2-gram,1,1
amongst parties,2,2-gram,0,0
the exchange,2,2-gram,0,0
exchange of,2,2-gram,0,0
resilience to,2,2-gram,1,1
term low,2,2-gram,0,0
and recommend,2,2-gram,0,0
session including,2,2-gram,0,0
that double,2,2-gram,0,0
counting is,2,2-gram,0,0
is avoided,2,2-gram,0,1
for both,2,2-gram,1,0
covered by,2,2-gram,1,1
recommends that,2,2-gram,0,0
adopt rules,2,2-gram,0,0
mechanism established,2,2-gram,0,0
by article,2,2-gram,0,0
by each,2,2-gram,1,0
additional to,2,2-gram,0,0
to any,2,2-gram,1,1
of emission,2,2-gram,0,0
reductions resulting,2,2-gram,0,0
from mitigation,2,2-gram,0,0
mitigation activities,2,2-gram,0,0
undertake a,2,2-gram,0,0
for non,2,2-gram,0,1
alia mitigation,2,2-gram,0,0
and coordination,2,2-gram,0,0
coordination of,2,2-gram,0,0
a draft,2,2-gram,0,0
draft decision,2,2-gram,0,0
programme referred,2,2-gram,0,0
above taking,2,2-gram,0,0
modalities to,2,2-gram,0,0
parties as,2,2-gram,0,0
make recommendations,2,2-gram,1,0
its mandate,2,2-gram,0,0
its second,2,2-gram,0,0
to review,2,2-gram,1,1
adaptation related,2,2-gram,0,0
to identifying,2,2-gram,0,0
identifying ways,2,2-gram,0,0
appropriate in,2,2-gram,0,0
assisting developing,2,2-gram,0,0
agencies and,2,2-gram,1,1
institutions to,2,2-gram,0,0
on how,2,2-gram,1,1
climate resilience,2,2-gram,0,0
finance and,2,2-gram,1,1
other relevant,2,2-gram,1,0
the mobilization,2,2-gram,0,0
the adequacy,2,2-gram,0,0
adequacy and,2,2-gram,0,0
and effectiveness,2,2-gram,0,0
effectiveness of,2,2-gram,1,1
of national,2,2-gram,0,0
continuation of,2,2-gram,0,0
mechanism for,2,2-gram,0,0
for loss,2,2-gram,0,1
with climate,2,2-gram,1,0
establish a,2,2-gram,0,0
risk transfer,2,2-gram,0,0
comprehensive risk,2,2-gram,0,0
to its,2,2-gram,1,1
to complement,2,2-gram,1,0
upon the,2,2-gram,0,0
appropriate existing,2,2-gram,0,0
expert groups,2,2-gram,0,0
groups under,2,2-gram,1,0
expert bodies,2,2-gram,0,0
bodies outside,2,2-gram,0,0
develop recommendations,2,2-gram,0,0
on progress,2,2-gram,0,1
its annual,2,2-gram,0,0
that article,2,2-gram,0,0
does not,2,2-gram,1,1
resources provided,2,2-gram,0,0
policies strategies,2,2-gram,0,0
action plans,2,2-gram,1,0
their climate,2,2-gram,0,0
actions with,2,2-gram,0,0
to both,2,2-gram,1,0
both mitigation,2,2-gram,0,0
their existing,2,2-gram,0,0
from a,2,2-gram,1,1
usd billion,2,2-gram,0,0
priorities of,2,2-gram,0,0
resources including,2,2-gram,0,1
results based,2,2-gram,0,0
based payments,2,2-gram,0,1
appropriate for,2,2-gram,0,0
of policy,2,2-gram,0,0
approaches and,2,2-gram,0,1
and positive,2,2-gram,0,0
positive incentives,2,2-gram,0,0
emissions from,2,2-gram,1,1
from deforestation,2,2-gram,0,0
deforestation and,2,2-gram,0,1
and forest,2,2-gram,0,0
forest degradation,2,2-gram,0,0
degradation and,2,2-gram,0,0
of conservation,2,2-gram,0,0
conservation sustainable,2,2-gram,0,0
forests and,2,2-gram,1,0
of forest,2,2-gram,0,0
forest carbon,2,2-gram,0,0
carbon stocks,2,2-gram,0,0
alternative policy,2,2-gram,0,1
approaches such,2,2-gram,0,1
as joint,2,2-gram,0,0
joint mitigation,2,2-gram,0,0
adaptation approaches,2,2-gram,0,0
approaches for,2,2-gram,0,1
the integral,2,2-gram,0,0
integral and,2,2-gram,0,0
forests while,2,2-gram,0,0
while reaffirming,2,2-gram,0,0
reaffirming the,2,2-gram,0,0
non carbon,2,2-gram,0,0
carbon benefits,2,2-gram,0,0
benefits associated,2,2-gram,0,0
with such,2,2-gram,0,0
the coordination,2,2-gram,0,0
bilateral and,2,2-gram,0,0
and multilateral,2,2-gram,0,0
and alternative,2,2-gram,1,0
with relevant,2,2-gram,0,0
decisions by,2,2-gram,1,0
process to,2,2-gram,1,1
identify the,2,2-gram,1,1
recommendation for,2,2-gram,0,0
and mobilized,2,2-gram,0,0
mobilized through,2,2-gram,0,0
through public,2,2-gram,0,0
public interventions,2,2-gram,0,0
twenty fourth,2,2-gram,0,0
session november,2,2-gram,0,0
to making,2,2-gram,0,0
session decides,2,2-gram,0,0
protocol and,2,2-gram,0,0
priorities and,2,2-gram,1,1
in relevant,2,2-gram,1,1
in line,2,2-gram,1,1
line with,2,2-gram,1,1
the institutions,2,2-gram,0,0
institutions serving,2,2-gram,0,0
delivery of,2,2-gram,0,1
through simplified,2,2-gram,0,0
approval procedures,2,2-gram,0,0
and through,2,2-gram,0,1
readiness support,2,2-gram,0,0
enhanced implementation,2,2-gram,0,0
assessments as,2,2-gram,0,0
strengthen the,2,2-gram,1,0
network in,2,2-gram,1,0
in supporting,2,2-gram,1,0
supporting the,2,2-gram,1,1
a technology,2,2-gram,0,1
capacities and,2,2-gram,0,0
the elaboration,2,2-gram,0,0
elaboration of,2,2-gram,0,0
technology framework,2,2-gram,0,0
should facilitate,2,2-gram,0,0
and technical,2,2-gram,1,1
technical support,2,2-gram,0,0
for and,2,2-gram,1,1
transfer of,2,2-gram,0,0
bodies on,2,2-gram,0,0
their activities,2,2-gram,1,0
activities to,2,2-gram,1,1
periodic assessment,2,2-gram,0,0
mechanism in,2,2-gram,0,0
to technology,2,2-gram,0,1
assessment referred,2,2-gram,0,0
paragraph and,2,2-gram,0,0
twenty fifth,2,2-gram,0,0
fifth session,2,2-gram,0,0
gaps and,2,2-gram,0,0
current and,2,2-gram,1,0
and further,2,2-gram,0,0
including with,2,2-gram,0,0
coherence and,2,2-gram,0,0
to launch,2,2-gram,0,0
the following,2,2-gram,1,1
to increase,2,2-gram,1,1
cooperation and,2,2-gram,0,0
and avoid,2,2-gram,0,1
avoid duplication,2,2-gram,0,0
activities including,2,2-gram,1,0
institutions under,2,2-gram,0,0
b identifying,2,2-gram,0,0
identifying capacity,2,2-gram,0,0
c promoting,2,2-gram,0,0
and dissemination,2,2-gram,0,0
and subnational,2,2-gram,0,0
building by,2,2-gram,0,0
ownership of,2,2-gram,0,0
identifying opportunities,2,2-gram,0,0
the national,2,2-gram,1,1
national regional,2,2-gram,0,0
relevant processes,2,2-gram,0,0
processes and,2,2-gram,1,1
exchanging information,2,2-gram,0,0
of bodies,2,2-gram,0,0
providing guidance,2,2-gram,0,0
building portal,2,2-gram,0,0
knowledge on,2,2-gram,1,0
and challenges,2,2-gram,1,1
to organize,2,2-gram,0,0
develop the,2,2-gram,1,1
third comprehensive,2,2-gram,0,0
comprehensive review,2,2-gram,0,0
building framework,2,2-gram,0,0
on this,2,2-gram,1,1
this matter,2,2-gram,0,0
to submit,2,2-gram,0,1
submit their,2,2-gram,0,0
their views,2,2-gram,1,1
the submissions,2,2-gram,0,0
the outcome,2,2-gram,1,0
outcome of,2,2-gram,1,0
the secretariat’s,2,2-gram,0,0
via the,2,2-gram,0,0
and reports,2,2-gram,1,0
reports on,2,2-gram,1,1
session to,2,2-gram,0,0
on enhancing,2,2-gram,0,0
reflected in,2,2-gram,1,0
their contribution,2,2-gram,0,1
explore ways,2,2-gram,0,0
of enhancing,2,2-gram,0,0
participation and,2,2-gram,0,0
transparency in,2,2-gram,1,1
enhanced transparency,2,2-gram,0,0
a timely,2,2-gram,0,0
timely manner,2,2-gram,1,0
aim,2,2-gram,1,1
transparency related,2,2-gram,0,0
with national,2,2-gram,1,0
priorities b,2,2-gram,0,0
stipulated in,2,2-gram,0,0
c to,2,2-gram,0,0
assist in,2,2-gram,0,0
of transparency,2,2-gram,0,0
transparency over,2,2-gram,0,0
arrangements to,2,2-gram,0,0
voluntary contributions,2,2-gram,0,0
requests that,2,2-gram,0,0
of work,2,2-gram,1,1
flexibility in,2,2-gram,0,1
including in,2,2-gram,1,1
frequency and,2,2-gram,0,1
of reporting,2,2-gram,1,0
of review,2,2-gram,0,0
article paragraphs,2,2-gram,0,0
states may,2,2-gram,0,0
and update,2,2-gram,0,0
provide flexibility,2,2-gram,0,0
transparency accuracy,2,2-gram,0,0
accuracy completeness,2,2-gram,0,0
consistency and,2,2-gram,0,0
on parties,2,2-gram,0,0
and quality,2,2-gram,1,0
ensure environmental,2,2-gram,0,0
processes under,2,2-gram,0,0
available to,2,2-gram,1,1
the consistency,2,2-gram,0,0
the methodology,2,2-gram,1,0
reporting on,2,2-gram,1,1
and sharing,2,2-gram,1,1
learned fccc,2,2-gram,0,0
through inter,2,2-gram,0,0
alia the,2,2-gram,0,0
and taking,2,2-gram,0,0
advice on,2,2-gram,0,0
and enhancing,2,2-gram,0,1
the social,2,2-gram,1,0
that this,2,2-gram,0,1
be applied,2,2-gram,1,0
shall build,2,2-gram,0,0
measurement reporting,2,2-gram,0,0
and verification,2,2-gram,0,0
– and,2,2-gram,1,1
and decision,2,2-gram,1,0
reports and,2,2-gram,0,1
and biennial,2,2-gram,0,0
input for,2,2-gram,1,0
the overall,2,2-gram,1,0
state of,2,2-gram,0,1
communications referred,2,2-gram,0,0
the latest,2,2-gram,0,0
committee referred,2,2-gram,0,0
scientific technical,2,2-gram,0,0
each from,2,2-gram,0,0
nations and,2,2-gram,0,1
the goal,2,2-gram,1,0
goal of,2,2-gram,1,0
on such,2,2-gram,0,0
solely for,2,2-gram,0,0
the purposes,2,2-gram,0,1
purposes of,2,2-gram,0,1
of adoption,2,2-gram,0,0
as in,2,2-gram,1,1
the most,2,2-gram,1,1
most up,2,2-gram,0,0
per cent,2,2-gram,0,0
cent of,2,2-gram,0,0
national communications,2,2-gram,0,0
the highest,2,2-gram,1,1
possible mitigation,2,2-gram,0,1
the pre,2,2-gram,0,0
pre period,2,2-gram,0,0
not already,2,2-gram,0,0
already done,2,2-gram,0,0
implement the,2,2-gram,1,1
cancun agreements,2,2-gram,0,0
the decisions,2,2-gram,1,0
efforts under,2,2-gram,0,0
parties d,2,2-gram,0,0
participate in,2,2-gram,1,1
encourages parties,2,2-gram,0,0
the voluntary,2,2-gram,1,1
units issued,2,2-gram,0,0
issued under,2,2-gram,0,0
reductions that,2,2-gram,0,0
to meet,2,2-gram,1,1
integrity and,2,2-gram,1,1
– the,2,2-gram,1,1
encouraging parties,2,2-gram,0,0
international organizations,2,2-gram,0,0
cooperate in,2,2-gram,0,0
in facilitating,2,2-gram,0,0
process in,2,2-gram,1,1
development priorities,2,2-gram,0,0
and participation,2,2-gram,0,0
meetings and,2,2-gram,0,0
their efforts,2,2-gram,0,0
scaling up,2,2-gram,0,0
encourages the,2,2-gram,1,1
progress in,2,2-gram,1,1
a organizing,2,2-gram,0,0
regular technical,2,2-gram,0,0
meetings focusing,2,2-gram,0,0
focusing on,2,2-gram,1,1
actions representing,2,2-gram,0,0
representing best,2,2-gram,0,0
the potential,2,2-gram,1,1
potential to,2,2-gram,1,1
be scalable,2,2-gram,0,0
scalable and,2,2-gram,0,0
and replicable,2,2-gram,0,0
in time,2,2-gram,0,1
time to,2,2-gram,1,1
to serve,2,2-gram,1,0
as input,2,2-gram,1,0
input to,2,2-gram,1,0
below a,2,2-gram,1,0
technical paper,2,2-gram,0,0
paper on,2,2-gram,0,0
actions for,2,2-gram,0,0
as on,2,2-gram,0,0
on options,2,2-gram,0,0
implementation information,2,2-gram,0,0
which should,2,2-gram,0,0
made available,2,2-gram,1,0
available in,2,2-gram,0,0
online format,2,2-gram,0,0
the champions,2,2-gram,0,0
options to,2,2-gram,0,0
support their,2,2-gram,0,0
each session,2,2-gram,0,0
event referred,2,2-gram,0,0
be organized,2,2-gram,0,0
organized jointly,2,2-gram,0,0
jointly by,2,2-gram,0,0
conduct in,2,2-gram,0,0
an assessment,2,2-gram,1,0
improve its,2,2-gram,1,1
its effectiveness,2,2-gram,1,0
of ambition,2,2-gram,0,0
ambition of,2,2-gram,1,0
for mitigation,2,2-gram,0,0
finance from,2,2-gram,0,0
to further,2,2-gram,1,1
and and,2,2-gram,1,1
relevant opportunities,2,2-gram,0,0
and enabling,2,2-gram,1,0
actions in,2,2-gram,1,0
non state,2,2-gram,0,0
state actor,2,2-gram,0,0
actor zone,2,2-gram,0,0
zone for,2,2-gram,0,0
action platform,2,2-gram,0,0
engagement in,2,2-gram,0,0
building on,2,2-gram,0,0
that,2,2-gram,0,0
actions arising,2,2-gram,0,0
above b,2,2-gram,0,0
coalitions including,2,2-gram,0,0
http,2,2-gram,1,0
level champions,2,2-gram,0,0
to act,2,2-gram,0,1
the current,2,2-gram,1,1
interested parties,2,2-gram,1,0
organization of,2,2-gram,0,0
of technical,2,2-gram,1,0
a full,2,2-gram,1,1
one year,2,2-gram,0,0
year from,2,2-gram,1,0
the appointment,2,2-gram,0,0
appointment until,2,2-gram,0,0
until the,2,2-gram,1,0
the last,2,2-gram,1,1
last day,2,2-gram,0,0
for two,2,2-gram,1,0
years from,2,2-gram,0,0
for strengthening,2,2-gram,0,0
strengthening resilience,2,2-gram,0,0
increasing the,2,2-gram,1,1
sharing of,2,2-gram,1,1
practices experiences,2,2-gram,0,0
actions that,2,2-gram,0,1
that could,2,2-gram,1,1
including actions,2,2-gram,0,0
diversification and,2,2-gram,0,0
and have,2,2-gram,1,1
mitigation co,2,2-gram,0,0
adaptation referred,2,2-gram,0,0
will take,2,2-gram,1,0
above a,2,2-gram,0,0
actions b,2,2-gram,0,0
change including,2,2-gram,0,0
to reduce,2,2-gram,1,1
vulnerability to,2,2-gram,0,0
holistic and,2,2-gram,0,0
important role,2,2-gram,1,1
decision and,2,2-gram,0,0
the actions,2,2-gram,1,1
actions referred,2,2-gram,0,0
in pursuit,2,2-gram,0,0
pursuit of,2,2-gram,0,0
by its,2,2-gram,0,0
the principle,2,2-gram,0,0
principle of,2,2-gram,0,0
for an,2,2-gram,1,1
threat of,2,2-gram,0,0
and special,2,2-gram,0,0
as provided,2,2-gram,0,0
countries with,2,2-gram,1,1
and impacts,2,2-gram,1,1
food production,2,2-gram,0,0
sinks and,2,2-gram,0,0
and reservoirs,2,2-gram,0,0
reservoirs of,2,2-gram,0,0
of education,2,2-gram,0,0
all levels,2,2-gram,0,1
the matters,2,2-gram,0,0
article for,2,2-gram,0,0
in enhancing,2,2-gram,0,0
including its,2,2-gram,1,1
to eradicate,2,2-gram,0,0
eradicate poverty,2,2-gram,0,0
reduce the,2,2-gram,1,1
and foster,2,2-gram,0,0
emissions development,2,2-gram,0,0
development in,2,2-gram,1,1
and c,2,2-gram,0,0
be implemented,2,2-gram,1,1
to achieving,2,2-gram,1,0
parties will,2,2-gram,0,0
will represent,2,2-gram,0,0
temperature goal,2,2-gram,0,0
achieve a,2,2-gram,1,0
sinks of,2,2-gram,0,0
successive nationally,2,2-gram,0,0
that it,2,2-gram,1,1
progression beyond,2,2-gram,0,0
the party’s,2,2-gram,0,0
and recognizing,2,2-gram,0,0
allow for,2,2-gram,0,1
for higher,2,2-gram,0,0
higher ambition,2,2-gram,0,0
their actions,2,2-gram,0,0
parties’ adaptation,2,2-gram,0,0
provide the,2,2-gram,1,1
information necessary,2,2-gram,0,0
necessary for,2,2-gram,1,1
any relevant,2,2-gram,0,0
and be,2,2-gram,0,1
party may,2,2-gram,0,1
at any,2,2-gram,0,0
any time,2,2-gram,0,0
to enhancing,2,2-gram,0,0
be recorded,2,2-gram,0,0
recorded in,2,2-gram,0,0
a public,2,2-gram,0,1
registry maintained,2,2-gram,0,0
maintained by,2,2-gram,0,0
and ensure,2,2-gram,0,1
the avoidance,2,2-gram,0,0
avoidance of,2,2-gram,0,0
of double,2,2-gram,0,0
their member,2,2-gram,0,0
an agreement,2,2-gram,1,0
that agreement,2,2-gram,0,0
in turn,2,2-gram,1,0
turn inform,2,2-gram,0,0
to such,2,2-gram,0,0
such an,2,2-gram,0,0
be responsible,2,2-gram,0,0
responsible for,2,2-gram,1,1
for its,2,2-gram,1,1
its emission,2,2-gram,0,0
level as,2,2-gram,1,0
with paragraphs,2,2-gram,0,0
and articles,2,2-gram,0,0
so in,2,2-gram,0,1
and together,2,2-gram,0,0
together with,2,2-gram,1,1
a regional,2,2-gram,0,0
which is,2,2-gram,1,1
to formulate,2,2-gram,0,0
formulate and,2,2-gram,0,0
take action,2,2-gram,1,1
promote sustainable,2,2-gram,0,0
of internationally,2,2-gram,0,0
add the,2,2-gram,0,0
a mechanism,2,2-gram,0,0
development is,2,2-gram,0,0
the authority,2,2-gram,0,1
authority and,2,2-gram,0,0
guidance of,2,2-gram,1,0
the host,2,2-gram,0,0
also be,2,2-gram,1,0
be used,2,2-gram,1,1
used by,2,2-gram,1,1
by another,2,2-gram,0,0
another party,2,2-gram,0,0
and d,2,2-gram,1,0
to demonstrate,2,2-gram,1,1
demonstrate achievement,2,2-gram,0,0
assist developing,2,2-gram,0,0
article at,2,2-gram,0,0
approaches shall,2,2-gram,0,0
shall aim,2,2-gram,0,0
b enhance,2,2-gram,0,0
instruments and,2,2-gram,0,0
global goal,2,2-gram,0,0
goal on,2,2-gram,0,0
that adaptation,2,2-gram,0,0
adaptation is,2,2-gram,0,0
a global,2,2-gram,1,1
component of,2,2-gram,1,0
livelihoods and,2,2-gram,1,1
be adopted,2,2-gram,0,0
that greater,2,2-gram,1,0
greater adaptation,2,2-gram,0,0
based on,2,2-gram,1,1
and local,2,2-gram,1,1
socioeconomic and,2,2-gram,0,0
learned including,2,2-gram,0,0
that serve,2,2-gram,0,0
of relevant,2,2-gram,0,1
relevant information,2,2-gram,0,0
early warning,2,2-gram,1,0
warning systems,2,2-gram,1,0
in identifying,2,2-gram,0,0
and gaps,2,2-gram,0,0
and e,2,2-gram,0,0
of actions,2,2-gram,1,0
which may,2,2-gram,1,1
may include,2,2-gram,1,1
impacts and,2,2-gram,1,1
resilience of,2,2-gram,1,0
party should,2,2-gram,0,0
communication referred,2,2-gram,0,0
be as,2,2-gram,0,1
and enhanced,2,2-gram,0,1
slow onset,2,2-gram,0,0
onset events,2,2-gram,0,0
be subject,2,2-gram,0,0
be enhanced,2,2-gram,0,0
enhance understanding,2,2-gram,0,0
understanding action,2,2-gram,0,0
areas of,2,2-gram,1,1
assessment and,2,2-gram,0,1
part of,2,2-gram,1,1
variety of,2,2-gram,1,1
of public,2,2-gram,1,0
information related,2,2-gram,0,0
on efforts,2,2-gram,0,0
efforts related,2,2-gram,0,0
term vision,2,2-gram,0,0
and facilitating,2,2-gram,0,0
stages of,2,2-gram,1,0
technology cycle,2,2-gram,0,0
change action,2,2-gram,0,0
building should,2,2-gram,0,0
shall regularly,2,2-gram,0,0
regularly communicate,2,2-gram,0,0
actions or,2,2-gram,0,0
or measures,2,2-gram,0,0
appropriate institutional,2,2-gram,0,0
arrangements established,2,2-gram,0,0
shall at,2,2-gram,0,0
a decision,2,2-gram,0,0
transparency arrangements,2,2-gram,0,0
non punitive,2,2-gram,0,0
shall form,2,2-gram,0,0
is to,2,2-gram,1,1
of progress,2,2-gram,0,0
stocktake under,2,2-gram,0,0
and b,2,2-gram,0,1
necessary to,2,2-gram,1,1
should provide,2,2-gram,0,0
financial technology,2,2-gram,0,0
party under,2,2-gram,0,0
expert review,2,2-gram,0,0
in addition,2,2-gram,1,1
consideration of,2,2-gram,0,1
and achievement,2,2-gram,0,0
review shall,2,2-gram,0,0
shall pay,2,2-gram,0,0
pay particular,2,2-gram,0,0
particular attention,2,2-gram,0,0
attention to,2,2-gram,0,0
the respective,2,2-gram,0,0
national capabilities,2,2-gram,0,0
capabilities and,2,2-gram,1,1
and circumstances,2,2-gram,0,0
the arrangements,2,2-gram,0,0
add article,2,2-gram,0,0
committee shall,2,2-gram,0,0
are not,2,2-gram,1,1
not parties,2,2-gram,0,0
may participate,2,2-gram,0,0
participate as,2,2-gram,0,0
observers in,2,2-gram,0,0
the proceedings,2,2-gram,0,0
proceedings of,2,2-gram,0,0
any session,2,2-gram,0,0
parties serves,2,2-gram,0,0
agreement decisions,2,2-gram,0,0
decisions under,2,2-gram,0,0
be taken,2,2-gram,0,1
taken only,2,2-gram,0,0
by those,2,2-gram,0,1
agreement any,2,2-gram,0,0
any member,2,2-gram,0,0
member of,2,2-gram,1,1
representing a,2,2-gram,1,0
convention but,2,2-gram,0,0
but at,2,2-gram,0,0
at that,2,2-gram,0,0
that time,2,2-gram,0,0
time not,2,2-gram,0,0
not a,2,2-gram,0,0
be replaced,2,2-gram,1,0
replaced by,2,2-gram,0,0
by an,2,2-gram,1,0
an additional,2,2-gram,0,0
additional member,2,2-gram,0,0
member to,2,2-gram,0,0
and from,2,2-gram,1,1
from amongst,2,2-gram,0,0
amongst the,2,2-gram,0,0
functions assigned,2,2-gram,0,0
assigned to,2,2-gram,0,0
deemed necessary,2,2-gram,0,0
such other,2,2-gram,0,0
the rules,2,2-gram,1,1
rules of,2,2-gram,0,0
of procedure,2,2-gram,0,0
except as,2,2-gram,0,0
ordinary sessions,2,2-gram,0,0
agreement or,2,2-gram,0,0
any party,2,2-gram,0,0
least one,2,2-gram,0,0
one third,2,2-gram,0,0
third of,2,2-gram,1,0
be represented,2,2-gram,0,0
represented at,2,2-gram,0,0
in matters,2,2-gram,0,0
the functioning,2,2-gram,0,0
functioning of,2,2-gram,0,0
by articles,2,2-gram,0,0
exercise their,2,2-gram,0,0
bodies or,2,2-gram,0,0
by such,2,2-gram,0,0
be deposited,2,2-gram,0,0
deposited with,2,2-gram,0,0
organization that,2,2-gram,0,0
any of,2,2-gram,1,1
organization and,2,2-gram,0,1
their instruments,2,2-gram,0,0
organizations shall,2,2-gram,0,0
extent of,2,2-gram,0,1
shall enter,2,2-gram,0,0
enter into,2,2-gram,0,1
force on,2,2-gram,0,0
the thirtieth,2,2-gram,0,0
thirtieth day,2,2-gram,0,0
day after,2,2-gram,0,0
state or,2,2-gram,0,0
or regional,2,2-gram,1,0
deposited by,2,2-gram,0,0
annexes to,2,2-gram,0,0
a reference,2,2-gram,0,1
reference to,2,2-gram,0,0
to vote,2,2-gram,0,0
number of,2,2-gram,1,1
its right,2,2-gram,0,0
