UN Paris,Frequency,Type,UN_Overlap_Shell,UN_Overlap_BP
website,3,Noun,1,0
challenges,3,Noun,1,1
carbon,3,Noun,1,1
Expert,3,Noun,0,1
views,3,Noun,1,1
New,3,Noun,1,1
environments,3,Noun,1,1
conservation,3,Noun,1,1
Lima,3,Noun,0,0
event,3,Noun,0,1
threat,3,Noun,0,0
annexes,3,Noun,0,0
gender,3,Noun,1,1
warning,2,Noun,1,1
matter,2,Noun,0,1
December,2,Noun,1,1
livelihoods,2,Noun,1,1
area,2,Noun,1,1
ownership,2,Noun,1,1
Decision,2,Noun,1,1
elaboration,2,Noun,0,0
research,2,Noun,1,1
Decisions,2,Noun,1,1
duplication,2,Noun,0,0
onset,2,Noun,0,0
project,2,Noun,1,1
portal,2,Noun,0,0
UNFCCC,2,Noun,0,0
component,2,Noun,1,1
format,2,Noun,0,1
inventory,2,Noun,1,1
peaking,2,Noun,0,0
Agreements,2,Noun,1,1
ability,2,Noun,1,1
units,2,Noun,1,1
value,2,Noun,1,1
Organizing,2,Noun,0,0
potential,2,Noun,1,1
paper,2,Noun,1,1
Actor,2,Noun,0,0
Zone,2,Noun,1,0
platform,2,Noun,1,1
reservoirs,2,Noun,0,1
ceremony,2,Noun,0,0
appointment,2,Noun,0,1
opportunity,2,Noun,1,1
vulnerabilities,2,Noun,0,1
observer,2,Noun,1,0
eradication,2,Noun,0,0
cent,2,Noun,0,0
targets,2,Noun,1,1
costs,2,Noun,1,1
quality,2,Noun,1,1
improvement,2,Noun,1,1
priority,2,Noun,1,1
replenishment,2,Noun,0,0
English,2,Noun,0,0
frequency,2,Noun,1,1
authority,2,Noun,0,1
accuracy,2,Noun,1,1
completeness,2,Noun,0,1
comparability,2,Noun,0,0
Notes,2,Noun,0,1
purposes,2,Noun,1,1
methodology,2,Noun,1,1
party,2,Noun,1,1
measurement,2,Noun,0,1
verification,2,Noun,1,1
system,2,Noun,1,1
application,2,Noun,1,1
compliance,2,Noun,1,1
members,2,Noun,1,1
avoidance,2,Noun,0,0
turn,2,Noun,1,0
pursuit,2,Noun,0,0
humankind,2,Noun,0,0
continuation,2,Noun,0,0
collaboration,2,Noun,1,1
steps,2,Noun,1,1
nature,2,Noun,1,1
attention,2,Noun,1,1
Development,2,Noun,1,1
projects,2,Noun,1,1
Damage,2,Noun,0,1
women,2,Noun,1,1
frames,2,Noun,0,0
Impacts,2,Noun,1,1
society,2,Noun,1,1
frame,2,Noun,1,1
cycle,2,Noun,1,1
stages,2,Noun,1,1
means,2,Noun,0,1
proceedings,2,Noun,0,0
procedure,2,Noun,1,0
Mitigation,2,Noun,1,1
migrants,2,Noun,0,0
cities,2,Noun,1,0
forum,2,Noun,1,1
authorities,2,Noun,1,1
categories,2,Noun,1,1
functioning,2,Noun,0,0
half,2,Noun,1,1
empowerment,2,Noun,0,1
children,2,Noun,1,1
persons,2,Noun,0,0
third,2,Noun,1,0
Risk,2,Noun,1,1
annex,2,Noun,0,0
disabilities,2,Noun,0,0
equality,2,Noun,0,0
vision,2,Noun,1,0
concerns,2,Noun,1,1
USD,2,Noun,0,0
number,2,Noun,1,1
gigatonnes,2,Noun,0,0
principle,2,Noun,0,1
stocks,2,Noun,0,0
Bureau,2,Noun,0,0
establishment,2,Noun,0,0
pathways,2,Noun,0,0
degradation,2,Noun,0,0
variety,2,Noun,1,1
effort,2,Noun,1,1
line,2,Noun,1,1
cost,2,Noun,1,1
delivery,2,Noun,1,1
readiness,2,Noun,0,0
relation,2,Noun,1,1
interventions,2,Noun,1,0
deforestation,2,Noun,0,1
energy,2,Noun,1,1
payments,2,Noun,1,1
legislations,1,Noun,0,0
expiry,1,Noun,0,0
lifestyles,1,Noun,1,1
patterns,1,Noun,1,1
consumption,1,Noun,1,1
amendments,1,Noun,0,0
jobs,1,Noun,1,1
Chinese,1,Noun,0,0
receipt,1,Noun,0,1
deposit,1,Noun,0,0
definitions,1,Noun,1,1
settlement,1,Noun,1,1
conditions,1,Noun,1,1
responses,1,Noun,1,0
amount,1,Noun,1,1
modification,1,Noun,1,0
exercise,1,Noun,0,1
risks,1,Noun,1,1
relationship,1,Noun,1,0
cases,1,Noun,1,1
creation,1,Noun,1,0
pathway,1,Noun,0,0
funding,1,Noun,1,0
original,1,Noun,0,0
disputes,1,Noun,1,0
oceans,1,Noun,1,1
security,1,Noun,1,1
material,1,Noun,1,1
Earth,1,Noun,1,1
lists,1,Noun,0,0
concept,1,Noun,1,1
forms,1,Noun,1,1
justice,1,Noun,0,1
Regional,1,Noun,0,0
cultures,1,Noun,1,1
engagements,1,Noun,1,1
transition,1,Noun,1,1
government,1,Noun,1,1
actors,1,Noun,0,1
Annexes,1,Noun,0,0
Mother,1,Noun,0,0
Arabic,1,Noun,0,0
biodiversity,1,Noun,1,1
vote,1,Noun,0,0
amendment,1,Noun,0,0
imperatives,1,Noun,0,0
protection,1,Noun,1,1
votes,1,Noun,0,0
reservations,1,Noun,0,0
hunger,1,Noun,0,0
character,1,Noun,0,0
workforce,1,Noun,1,1
losses,1,Noun,0,1
object,1,Noun,0,1
performance,1,Noun,1,1
approach,1,Noun,1,1
durability,1,Noun,0,0
making,1,Noun,1,0
services,1,Noun,1,1
Russian,1,Noun,0,0
observation,1,Noun,1,0
innovation,1,Noun,1,1
growth,1,Noun,1,1
places,1,Noun,1,1
dimensions,1,Noun,0,0
challenge,1,Noun,1,1
aspects,1,Noun,1,1
WITNESS,1,Noun,0,0
capacitybuilding,1,Noun,0,0
trust,1,Noun,1,1
undertakings,1,Noun,0,0
Monitoring,1,Noun,1,1
sovereignty,1,Noun,0,0
Emergency,1,Noun,1,1
SecretaryGeneral,1,Noun,0,0
Resilience,1,Noun,1,1
facilities,1,Noun,1,1
Comprehensive,1,Noun,1,0
Events,1,Noun,1,1
preparedness,1,Noun,0,1
facilitation,1,Noun,1,0
documents,1,Noun,0,1
funds,1,Noun,1,1
constraints,1,Noun,1,1
grant,1,Noun,1,0
texts,1,Noun,0,0
weather,1,Noun,1,1
Spanish,1,Noun,0,0
plan,1,Noun,1,1
confidence,1,Noun,0,0
analysis,1,Noun,1,1
century,1,Noun,1,0
limitation,1,Noun,1,0
Distr,1,Noun,0,0
economies,1,Noun,1,1
solutions,1,Noun,1,1
admission,1,Noun,0,0
methods,1,Noun,1,0
Sessions,1,Noun,0,1
bureaux,1,Noun,0,0
agency,1,Noun,1,1
economy,1,Noun,1,1
Headquarters,1,Noun,0,0
Instruments,1,Noun,0,0
French,1,Noun,0,0
case,1,Noun,1,1
objectives,1,Noun,1,1
wish,1,Noun,0,0
Agency,1,Noun,1,1
tracking,1,Noun,1,0
governance,1,Noun,1,1
overview,1,Noun,1,1
expenses,1,Noun,1,1
proceeds,1,Noun,1,1
share,1,Noun,1,1
Emission,1,Noun,1,1
practice,1,Noun,1,1
taking,1,Noun,0,1
Energy,1,Noun,1,1
goals,1,Noun,1,1
function,1,Noun,0,0
Exercise,1,Noun,0,1
consensus,1,Noun,0,0
times,1,Noun,1,1
signatories,1,Noun,0,0
Atomic,1,Noun,0,0
channels,1,Noun,1,1
requirements,1,Noun,1,1
principles,1,Noun,1,1
centres,1,Noun,1,0
clearing,1,Noun,0,0
Transforming,1,Noun,0,0
world,1,Noun,1,1
Sustainable,1,Noun,1,0
formulation,1,Noun,0,1
Addis,1,Noun,0,0
limit,1,Noun,1,1
networks,1,Noun,1,0
proofing,1,Noun,0,0
repository,1,Noun,0,0
Ababa,1,Noun,0,0
Financing,1,Noun,0,0
Sendai,1,Noun,0,0
Disaster,1,Noun,1,1
synergy,1,Noun,0,0
linkages,1,Noun,0,0
Reduction,1,Noun,1,1
mechanisms,1,Noun,1,1
house,1,Noun,1,1
RES,1,Noun,0,0
certification,1,Noun,1,1
Special,1,Noun,0,0
INF.3,1,Noun,0,0
SB,1,Noun,0,0
Page,1,Noun,1,1
operations,1,Noun,1,1
transmission,1,Noun,1,0
criteria,1,Noun,1,1
eligibility,1,Noun,0,0
issue,1,Noun,1,1
floor,1,Noun,0,1
task,1,Noun,0,0
regulations,1,Noun,1,1
Assembly,1,Noun,0,0
compensation,1,Noun,0,1
liability,1,Noun,0,0
thereon,1,Noun,0,0
resolution,1,Noun,1,1
displacement,1,Noun,1,0
Experience,1,Noun,1,1
Verification,1,Noun,1,1
findings,1,Noun,1,1
post,1,Noun,0,0
gap,1,Noun,0,0
warming,1,Noun,1,1
notes,1,Noun,0,1
scenarios,1,Noun,1,1
2015/7,1,Noun,0,0
October,1,Noun,1,1
position,1,Noun,1,1
foundation,1,Noun,1,1
call,1,Noun,0,0
Africa,1,Noun,1,1
invitation,1,Noun,0,1
convening,1,Noun,0,0
officers,1,Noun,1,1
election,1,Noun,0,0
arrangement,1,Noun,0,0
America,1,Noun,1,1
features,1,Noun,0,1
Reductions,1,Noun,1,1
activity,1,Noun,1,1
societies,1,Noun,1,1
scopes,1,Noun,0,0
planet,1,Noun,0,0
Real,1,Noun,0,0
Voluntary,1,Noun,1,1
adjustment,1,Noun,0,0
mid-century,1,Noun,0,0
explanation,1,Noun,1,1
sink,1,Noun,0,0
point,1,Noun,1,1
source,1,Noun,1,1
baselines,1,Noun,0,0
metrics,1,Noun,1,1
recording,1,Noun,0,0
assumptions,1,Noun,1,0
coverage,1,Noun,1,1
periods,1,Noun,0,1
base,1,Noun,1,1
demonstration,1,Noun,1,0
undertaking,1,Noun,1,1
Pursuant,1,Noun,0,0
updates,1,Noun,0,1
September,1,Noun,1,0
summit,1,Noun,0,0
appreciation,1,Noun,0,0
map,1,Noun,1,1
road,1,Noun,1,1
place,1,Noun,1,1
participants,1,Noun,0,1
proposals,1,Noun,0,0
mandates,1,Noun,0,0
catalyse,1,Noun,0,0
experts,1,Noun,1,1
suggestions,1,Noun,0,0
January,1,Noun,0,1
commitment,1,Noun,1,1
cancellation,1,Noun,1,0
resolve,1,Noun,0,0
pledge,1,Noun,0,0
registration,1,Noun,0,0
dignitaries,1,Noun,0,0
Doha,1,Noun,0,0
V,1,Noun,0,1
hereinafter,1,Noun,0,0
Annex,1,Noun,0,0
availability,1,Noun,1,1
implications,1,Noun,0,0
VI,1,Noun,0,1
pricing,1,Noun,1,1
platform4,1,Noun,0,0
decrease,1,Noun,1,1
February,1,Noun,1,1
behalf,1,Noun,1,1
user,1,Noun,0,0
outputs,1,Noun,0,1
continuity,1,Noun,0,1
Presidents,1,Noun,0,0
introduction,1,Noun,1,1
up,1,Noun,1,1
scaling,1,Noun,0,0
execution,1,Noun,0,0
Amendment,1,Noun,0,0
IV,1,Noun,0,0
updating,1,Noun,0,0
web,1,Noun,0,1
Forum,1,Noun,1,1
compilation,1,Noun,0,0
inputs,1,Noun,0,0
March,1,Noun,1,1
membership,1,Noun,1,0
successes,1,Noun,1,0
Addendum,1,Noun,0,0
theme,1,Noun,0,0
maintenance,1,Noun,1,1
extension,1,Noun,0,0
Part,1,Noun,1,1
Contents,1,Noun,1,1
space,1,Noun,0,0
synergies,1,Noun,0,0
barriers,1,Noun,1,1
ideas,1,Noun,1,1
Report,1,Noun,1,1
Calls,1,Noun,0,0
total,1,Noun,1,1
issues,1,Noun,1,1
clauses,1,Noun,1,1
Original,1,Noun,0,0
representation,1,Noun,1,1
fields,1,Noun,1,1
advice,1,Noun,1,0
Reports,1,Noun,1,1
state,1,Noun,1,1
submission,1,Noun,1,0
formats,1,Noun,0,1
initiative,1,Noun,1,1
types,1,Noun,1,1
intervals,1,Noun,0,0
discretion,1,Noun,0,0
flexibilities,1,Noun,0,0
reviews,1,Noun,1,1
detail,1,Noun,1,0
design,1,Noun,1,1
entity,1,Noun,0,1
cycles,1,Noun,0,0
WHEREOF,1,Noun,0,0
